OBJECTID,HOEHE,NAME,SPRACHCODE,LONGITUDE,LATITUDE,ELEVATION
54,3418,Piz Kesch,Rumantsch Grischun inkl. Lokalsprachen,9.872784253384541,46.621305216165716,3417.441211999998
55,2968,Piz Daint,Rumantsch Grischun inkl. Lokalsprachen,10.290916017593984,46.618726386945326,2967.8150119999973
56,3127,Piz d'Esan,Rumantsch Grischun inkl. Lokalsprachen,10.060511182792041,46.62433247030507,3126.4675119999974
57,2763,Piz Chavalatsch,Rumantsch Grischun inkl. Lokalsprachen,10.492055791823795,46.61539102864425,2762.4775119999977
58,3165,Piz Quattervals,Rumantsch Grischun inkl. Lokalsprachen,10.094910030085934,46.627165413127315,3164.263711999998
59,2909,Piz Terza,Rumantsch Grischun inkl. Lokalsprachen,10.399832194381803,46.63857759542019,2908.0987119999972
60,2909,Urtirolaspitz,Hochdeutsch inkl. Lokalsprachen,10.399832194381803,46.63857759542019,2908.0987119999972
61,3020,Ducan Dador,Rumantsch Grischun inkl. Lokalsprachen,9.83018324423837,46.674873806526,3019.191211999998
62,3020,Gletscher Ducan,Hochdeutsch inkl. Lokalsprachen,9.83018324423837,46.674873806526,3019.191211999998
63,3077,Chüealphorn,Hochdeutsch inkl. Lokalsprachen,9.905387546122618,46.6853495385589,3076.5300119999974
64,3168,Piz Tavrü,Rumantsch Grischun inkl. Lokalsprachen,10.296063889506595,46.67915428445976,3167.5062119999984
65,3229,Piz Vadret,Rumantsch Grischun inkl. Lokalsprachen,9.962691290099169,46.687025364364146,3228.4487119999976
66,3063,Hoch Ducan,Hochdeutsch inkl. Lokalsprachen,9.851423912323167,46.68952998026679,3062.4600119999977
67,3063,Piz Ducan,Rumantsch Grischun inkl. Lokalsprachen,9.851423912323167,46.68952998026679,3062.4600119999977
68,3178,Piz Sarsura,Rumantsch Grischun inkl. Lokalsprachen,9.9944135186867,46.691175344921675,3177.465011999997
69,2906,Lenzer Horn,Rumantsch Grischun inkl. Lokalsprachen,9.595091916842435,46.709024075490575,2905.5387119999978
70,3167,Piz Plavna Dadaint,Rumantsch Grischun inkl. Lokalsprachen,10.223627987114478,46.70874157104473,3165.9850119999974
71,3204,Piz Sesvenna,Rumantsch Grischun inkl. Lokalsprachen,10.40279781834001,46.70593499667171,3203.487511999998
72,2908,Leidbachhorn,Hochdeutsch inkl. Lokalsprachen,9.822218327623425,46.72141361294575,2907.496211999998
73,2980,Aroser Rothorn,Rumantsch Grischun inkl. Lokalsprachen,9.613909378137606,46.737861019843876,2979.7400119999984
74,2815,Wuosthorn,Hochdeutsch inkl. Lokalsprachen,9.877882931088054,46.73457684152422,2814.537511999997
75,3146,Schwarzhorn,Rumantsch Grischun inkl. Lokalsprachen,9.94170639220141,46.73576555184868,3145.527511999997
76,3092,Piz Cristanas,Rumantsch Grischun inkl. Lokalsprachen,10.392070796314266,46.73451254931233,3091.4087119999967
77,3099,Piz Madlain,Rumantsch Grischun inkl. Lokalsprachen,10.339065566664653,46.73960948781344,3098.0962119999967
78,3173,Piz Pisoc,Rumantsch Grischun inkl. Lokalsprachen,10.279496691462722,46.74449090465782,3172.4712119999967
79,3085,Flüela Wisshorn,Hochdeutsch inkl. Lokalsprachen,9.966625800432178,46.76212315616143,3084.8075119999976
80,2781,Tiejer Flue,Hochdeutsch inkl. Lokalsprachen,9.734584280762656,46.780950713945245,2780.875011999997
81,3105,Piz Lischana,Rumantsch Grischun inkl. Lokalsprachen,10.345259683867486,46.769549115142674,3105.1262119999974
82,3410,Piz Linard,Rumantsch Grischun inkl. Lokalsprachen,10.07143324574349,46.79894215698057,3409.7212119999967
83,2843,Weissfluh,Hochdeutsch inkl. Lokalsprachen,9.794198705179086,46.83521364946721,2843.4437119999984
84,3312,Piz Buin Grond,Rumantsch Grischun inkl. Lokalsprachen,10.11887725817306,46.84412104802323,3311.5575119999976
85,3028,Bündner Vorab,Hochdeutsch inkl. Lokalsprachen,9.156782896725854,46.87392461381569,3026.2125119999982
86,3018,Glarner Vorab,Hochdeutsch inkl. Lokalsprachen,9.152920277286471,46.87987600051819,3016.5062119999984
87,3230,Piz Blaisch Lunga,Rumantsch Grischun inkl. Lokalsprachen,10.203853567155099,46.86462341770501,3229.6200119999976
88,3230,Augstenberg,Hochdeutsch inkl. Lokalsprachen,10.203853567155099,46.86462341770501,3229.6200119999976
89,2887,Schildflue,Hochdeutsch inkl. Lokalsprachen,9.956700048240187,46.880785541679685,2886.982511999997
90,3247,Ringelspitz,Hochdeutsch inkl. Lokalsprachen,9.343085676564261,46.89827499224583,3246.982511999997
91,3247,Piz Barghis,Rumantsch Grischun inkl. Lokalsprachen,9.343085676564261,46.89827499224583,3246.982511999997
92,3109,Gross Litzner,Hochdeutsch inkl. Lokalsprachen,10.038247514336767,46.88645619274251,3108.622511999998
93,2804,Haldensteiner Calanda,Hochdeutsch inkl. Lokalsprachen,9.467271713369202,46.89988979073254,2805.0175119999967
94,3099,Piz Segnas,Rumantsch Grischun inkl. Lokalsprachen,9.239704042028201,46.90789624930585,3098.202511999998
95,3398,Piz Fenga,Rumantsch Grischun inkl. Lokalsprachen,10.227436899600924,46.890716451811834,3397.121211999998
96,3398,Fluchthorn,Hochdeutsch inkl. Lokalsprachen,10.227436899600924,46.890716451811834,3397.121211999998
97,3056,Piz Sardona,Rumantsch Grischun inkl. Lokalsprachen,9.251597581577556,46.922730915400805,3057.0012119999974
98,3056,Surenstock,Hochdeutsch inkl. Lokalsprachen,9.251597581577556,46.922730915400805,3057.0012119999974
99,3296,Muttler,Hochdeutsch inkl. Lokalsprachen,10.378732846709386,46.90066304207402,3295.1187119999977
100,2825,Madrisahorn,Hochdeutsch inkl. Lokalsprachen,9.872175471287578,46.93106841965175,2825.8150119999973
101,2844,Pizol,Rumantsch Grischun inkl. Lokalsprachen,9.386717352719701,46.95916003616178,2843.465011999997
102,2817,Sulzfluh,Hochdeutsch inkl. Lokalsprachen,9.839733712264104,47.01267751437671,2816.6600119999985
103,2965,Schesaplana,Rumantsch Grischun inkl. Lokalsprachen,9.707392230782249,47.05383275478272,2964.5175119999967
104,2502,Säntis,Hochdeutsch inkl. Lokalsprachen,9.343239822860319,47.249425905231064,2501.7737119999983
105,3192,Pizzo Rotondo,Italienisch inkl. Lokalsprachen,8.46612821394812,46.51757464578747,3191.2387119999985
106,2929,Uri Rotstock,Hochdeutsch inkl. Lokalsprachen,8.535210632013847,46.86176241494938,2928.828711999997
107,2952,Brunnistock,Hochdeutsch inkl. Lokalsprachen,8.55001182856939,46.847707436277666,2951.5862119999983
108,2700,Rotsandnollen,Hochdeutsch inkl. Lokalsprachen,8.344084738222273,46.8006766168034,2700.0975119999985
109,3198,Gross Spannort,Hochdeutsch inkl. Lokalsprachen,8.524598689477166,46.78676914809696,3197.590011999997
110,3238,Titlis,Hochdeutsch inkl. Lokalsprachen,8.437780118333272,46.772038519031355,3237.902511999997
111,2994,Fünffingerstöck,Hochdeutsch inkl. Lokalsprachen,8.436264096104978,46.75217196433027,2993.277511999997
112,2580,Tällistock,Hochdeutsch inkl. Lokalsprachen,8.324881013660463,46.745487880965264,2579.3425119999974
113,3502,Sustenhorn,Hochdeutsch inkl. Lokalsprachen,8.455120401723478,46.69893174771924,3501.340011999997
114,2923,Mährenhorn,Hochdeutsch inkl. Lokalsprachen,8.31082834417323,46.69177461520279,2922.9775119999977
115,2928,Schwarzhoren,Hochdeutsch inkl. Lokalsprachen,8.075562964437708,46.68609636073274,2927.355011999998
